,ŠIFRA,NAZIV
457,38,"Sakupljanje,  tretman i odlaganje otpada; ponovno iskorišćavanje otpadnih materija"
458,381,Skupljanje otpada
459,3811,Skupljanje otpada koji nije opasan
460,3812,Skupljanje opasnog otpada
461,382,Tretman i odlaganje otpada
462,3821,Tretman i odlaganje otpada koji nije opasan
463,3822,Tretman i odlaganje opasnog otpada
464,383,Ponovna upotreba materijala
465,3831,Demontaža olupina
466,3832,Ponovna upotreba razvrstanih materijala
467,39,"Sanacija, rekultivacija i druge usluge u oblasti upravljanja otpadom"
468,390,"Sanacija, rekultivacija i duge usluge u oblasti upravljanja otpadom"
469,3900,"Sanacija, rekultivacija i druge usluge u oblasti upravljanja otpadom"
471,41,Izgradnja zgrada
472,411,Razrada građevinskih projekata
473,4110,Razrada građevinskih projekata
474,412,Izgradnja stambenih i nestambenih zgrada
475,4120,Izgradnja stambenih i nestambenih zgrada
476,42,Izgradnja ostalih građevina
477,421,Izgradnja puteva i železničkih pruga
478,4211,Izgradnja puteva i autoputeva
479,4212,Izgradnja železničkih pruga i podzemnih železnica
480,4213,Izgradnja mostova i tunela
481,422,"Izgradnja cevovoda, električnih i komunikacionih vodova"
482,4221,Izgradnja cevovoda
483,4222,Izgradnja električnih i telekomunikacionih vodova
484,429,Izgradnja ostalih građevina
485,4291,Izgradnja hidrotehničkih objekata
486,4299,Izgradnja ostalih nepomenutih građevina
487,43,Specijalizovani građevinski radovi
488,431,Rušenje i pripremanje gradilišta
489,4311,Rušenje objekata
490,4312,Pripremna gradilišta
491,4313,Ispitivanje terena bušenjem i sondiranjem
492,432,Instalacioni radovi u građevinarstvu
493,4321,Postavljanje električnih instalacija
494,4322,"Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema"
495,4329,Ostali instalacioni radovi u građevinarstvu
496,433,Završni građevinsko-zanatski radovi
497,4331,Malterisanje
498,4332,Ugradnja stolarije
499,4333,Postavljanje podnih i zidnih obloga
500,4334,Bojenje i zastakljivanje
501,4339,Ostali završni radovi
502,439,Ostali specifični građevinski radovi
503,4391,Krovni radovi
504,4399,Ostali nepomenuti specifični građevinski radovi
506,45,Trgovina na veliko i trgovina na malo i popravka motornih vozila i motocikala
507,451,Trgovina motornim vozilima
508,4511,Trgovina automobilima i lakim motornim vozilima
509,4519,Trgovina ostalim motornim vozilima
510,452,Održavanje i popravka motornih vozila
511,4520,Održavanje i popravka motornih vozila
512,453,Trgovina delovima i priborom za motorna vozila
513,4531,Trgovina na veliko delovima i opremom za motorna vozila
514,4532,Trgovina na malo delovima i opremom za motorna vozila
515,454,"Trgovina motociklima, delovima i priborom, održavanje i popravka motocikala"
516,4540,"Trgovina motociklima, delovima i priborom, održavanje i popravka motocikala"
517,46,"Trgovina na veliko, osim trgovine motornim vozilima i motociklima"
518,461,Trgovina na veliko za naknadu
519,4611,"Posredovanje u prodaji poljoprivrednih sirovina, životinja, tekstilnih sirovina i poluproizvoda"
520,4612,"Posredovanje u prodaji goriva, ruda, metala i industrijskih hemikalija"
521,4613,Posredovanje u prodaji drvne građe i građevinskog materijala
522,4614,"Posredovanje u prodaji mašina, industrijske opreme, brodova i aviona"
523,4615,"Posredovanje u prodaji nameštaja, predmeta za domaćinstvo i metalne robe"
524,4616,"Posredovanje u prodaji tekstila, odeće, krzna, obuće i predmeta od kože"
525,4617,"Posredovanje u prodaji hrane, pića i duvana"
526,4618,Specijalizovano posredovanje u prodaji posebnih proizvoda
527,4619,Posredovanje u prodaji raznovrsnih proizvoda
528,462,Trgovina na veliko poljoprivrednim sirovinama i životinjama
529,4621,"Trgovina na veliko žitom, sirovim duvanom, semenjem i hranom za životinje"
530,4622,Trgovina na veliko cvećem i sadnicama
531,4623,Trgovina na veliko životinjama
532,4624,"Trgovina na veliko sirovom, nedovršenom i dovršenom kožom"
533,463,"Trgovina na veliko hranom, pićima i duvanom"
534,4631,Trgovina na veliko voćem i povrćem
535,4632,Trgovina na veliko mesom i proizvodima od mesa
536,4633,"Trgovina na veliko mlečnim proizvodima, jajima i jestivim uljima i mastima"
537,4634,Trgovina na veliko pićima
538,4635,Trgovina na veliko duvanskim proizvodima
539,4636,"Trgovina na veliko šećerom, čokoladom i slatkišima"
540,4637,"Trgovina na veliko kafom, čajevima, kakaom i začinima"
541,4638,"Trgovina na veliko ostalom hranom, uključujući ribu, ljuskare i mekušce"
542,4639,"Nespecijalizovana trgovina na veliko hranom, pićima i duvanom"
543,464,Trgovina na veliko predmetima za domaćinstvo
544,4641,Trgovina na veliko tekstilom
545,4642,Trgovina na veliko odećom i obućom
546,4643,Trgovina na veliko električnim aparatima za domaćinstvo
547,4644,"Trgovina na veliko porculanom, staklenom robom i sredstvima za čišćenje"
548,4645,Trgovina na veliko parfimerijskim i kozmetičkim proizvodima
